chromosome	start	end	strand	gene_type	gene_name
chr1	14774469	14777727	-	lncRNA	ENSG00000287756
chr1	15111815	15153618	-	lncRNA	TMEM51-AS1
chr1	15152532	15220478	+	protein_coding	TMEM51
chr1	15164344	15171317	-	lncRNA	TMEM51-AS2
chr1	15191828	15192845	-	processed_pseudogene	MFFP1
chr1	15226373	15227549	+	processed_pseudogene	ZBTB2P1
chr1	15236521	15400283	+	protein_coding	FHAD1
chr1	15326680	15343876	-	lncRNA	FHAD1-AS1
chr1	15334166	15335464	-	lncRNA	ENSG00000236045
chr1	15402979	15409433	-	lncRNA	EFHD2-AS1
chr1	15409888	15430339	+	protein_coding	EFHD2
chr1	15438442	15449242	+	protein_coding	CTRC
chr1	15456728	15472091	+	protein_coding	CELA2A
chr1	15465909	15491395	+	protein_coding	CELA2B
chr1	15490832	15526534	-	protein_coding	CASP9
chr1	15526813	15592379	+	protein_coding	DNAJC16
chr1	15542165	15542304	+	scaRNA	SCARNA21B
chr1	15565611	15565956	-	lncRNA	ENSG00000272510
chr1	15571699	15585051	-	protein_coding	AGMAT
chr1	15586136	15603626	-	lncRNA	ENSG00000237301
chr1	15604597	15605043	+	processed_pseudogene	CHCHD2P6
chr1	15608078	15608145	-	snRNA	RNU7-179P
chr1	15614643	15614867	-	processed_pseudogene	CD24P1
chr1	15617458	15669044	+	protein_coding	DDI2
chr1	15659713	15662033	+	protein_coding	RSC1A1
chr1	15682873	15683128	-	lncRNA	ENSG00000271742
chr1	15684320	15734769	+	protein_coding	PLEKHM2
chr1	15720312	15736896	-	lncRNA	ENSG00000237938
chr1	15736258	15741392	+	protein_coding	SLC25A34
chr1	15740048	15749896	-	lncRNA	SLC25A34-AS1
chr1	15742499	15747982	+	protein_coding	TMEM82
chr1	15756607	15786594	+	protein_coding	FBLIM1
chr1	15792796	15793285	+	processed_pseudogene	RPL12P14
chr1	15807169	15809348	-	protein_coding	UQCRHL
chr1	15828232	15828669	+	processed_pseudogene	ENSG00000178715
chr1	15834474	15848147	-	lncRNA	FLJ37453
chr1	15836095	15940456	+	protein_coding	SPEN
chr1	15917698	15917908	-	unprocessed_pseudogene	ENSG00000270620
chr1	15941869	15976132	-	protein_coding	ZBTB17
chr1	15969632	15970194	+	processed_pseudogene	ENSG00000234607
chr1	15988182	15988441	+	unprocessed_pseudogene	ENSG00000231353
chr1	15989140	15989375	-	processed_pseudogene	ENSG00000275503
chr1	15989871	15994751	+	unprocessed_pseudogene	TBC1D3P6
chr1	16004236	16008807	+	protein_coding	SRARP
chr1	16006160	16006671	-	lncRNA	ENSG00000233078
chr1	16014028	16019594	-	protein_coding	HSPB7
chr1	16018875	16034050	+	protein_coding	CLCNKA
chr1	16035178	16040029	-	unprocessed_pseudogene	ENSG00000232456
chr1	16040252	16057311	+	protein_coding	CLCNKB
chr1	16057769	16073651	-	protein_coding	FAM131C
chr1	16124337	16156069	-	protein_coding	EPHA2
chr1	16155176	16158148	+	lncRNA	EPHA2-AS1
chr1	16159266	16161883	+	lncRNA	ENSG00000224621
chr1	16197854	16198357	+	lncRNA	ARHGEF19-AS1
chr1	16197854	16212652	-	protein_coding	ARHGEF19
chr1	16215907	16228027	-	transcribed_unprocessed_pseudogene	ANO7L1
chr1	16228674	16231335	-	lncRNA	ENSG00000288398
chr1	16231692	16237183	-	protein_coding	CPLANE2
chr1	16241213	16241398	-	processed_pseudogene	MT1XP1
chr1	16246840	16352480	-	protein_coding	FBXO42
chr1	16352575	16398145	+	protein_coding	SZRD1
chr1	16369150	16369530	-	processed_pseudogene	RPL22P3
chr1	16387117	16437424	-	protein_coding	SPATA21
chr1	16440721	16460078	+	protein_coding	NECAP2
chr1	16460948	16468481	+	lncRNA	LINC01772
chr1	16467436	16499257	-	transcribed_unprocessed_pseudogene	CROCCP3
chr1	16514122	16514285	-	snRNA	RNU1-1
chr1	16514645	16515754	+	lncRNA	ENSG00000261135
chr1	16515034	16521788	+	lncRNA	ENSG00000285853
chr1	16520694	16521796	+	lncRNA	ENSG00000224174
chr1	16533886	16535649	-	lncRNA	LINC01783
chr1	16534081	16534224	-	snRNA	RNU1-6P
chr1	16548651	16552531	-	unprocessed_pseudogene	PDE4DIPP8
chr1	16562319	16613562	-	protein_coding	NBPF1
chr1	16617391	16617729	+	lncRNA	ENSG00000271732
chr1	16618253	16657232	-	transcribed_unprocessed_pseudogene	CROCCP2
chr1	16642767	16643109	-	transcribed_unprocessed_pseudogene	ENSG00000283773
chr1	16645622	16650289	+	unprocessed_pseudogene	MST1P2
chr1	16656879	16667524	+	lncRNA	ENSG00000282143
chr1	16666785	16666948	-	snRNA	RNU1-3
chr1	16681097	16688749	-	unprocessed_pseudogene	ENSG00000280114
chr1	16685621	16686055	-	processed_pseudogene	EIF1AXP1
chr1	16687339	16720157	-	transcribed_unprocessed_pseudogene	ESPNP
chr1	16701546	16705594	+	lncRNA	ENSG00000279151
chr1	16739938	16750589	-	lncRNA	ENSG00000282740
chr1	16740273	16972964	+	protein_coding	CROCC
chr1	16740280	16750968	+	transcribed_unprocessed_pseudogene	CROCCP4
chr1	16740516	16740679	+	snRNA	RNU1-4
chr1	16754910	16770237	-	transcribed_unprocessed_pseudogene	MST1L
chr1	16851257	16853129	-	lncRNA	ENSG00000223643
chr1	16855407	16859284	+	unprocessed_pseudogene	PDE4DIPP9
chr1	16858949	16859021	-	miRNA	MIR3675
chr1	16870945	16883659	+	lncRNA	ENSG00000228549
chr1	16873708	16873851	+	snRNA	RNU1-5P
chr1	16887577	16889725	-	lncRNA	ENSG00000238142
chr1	16889095	16889602	+	processed_pseudogene	ENSG00000235241
chr1	16895980	16896143	+	snRNA	RNU1-2
chr1	16904339	16904776	-	lncRNA	ENSG00000272426
chr1	16974502	16980632	-	protein_coding	MFAP2
chr1	16976302	16977792	+	lncRNA	ENSG00000286898
chr1	16978926	17005091	+	lncRNA	ENSG00000226526
chr1	16985958	17011928	-	protein_coding	ATP13A2
chr1	17005068	17011757	-	protein_coding	ENSG00000288636
chr1	17018722	17054032	-	protein_coding	SDHB
chr1	17066761	17119451	-	protein_coding	PADI2
chr1	17189783	17197617	+	lncRNA	LINC02783
chr1	17193232	17201733	-	lncRNA	ENSG00000282843
chr1	17205128	17246007	+	protein_coding	PADI1
chr1	17249098	17284233	+	protein_coding	PADI3
chr1	17277889	17277975	+	miRNA	MIR3972
chr1	17308195	17364004	+	protein_coding	PADI4
chr1	17372196	17401699	+	protein_coding	PADI6
chr1	17406760	17407382	+	lncRNA	RCC2-AS1
chr1	17406760	17439677	-	protein_coding	RCC2
chr1	17539698	17697874	+	protein_coding	ARHGEF10L
chr1	17717625	17749978	+	lncRNA	LINC02810
chr1	17755333	17827063	+	protein_coding	ACTL8
chr1	18015712	18045612	+	lncRNA	ENSG00000284653
chr1	18065657	18074412	+	lncRNA	LINC01654
chr1	18107798	18378483	+	protein_coding	IGSF21
chr1	18109389	18115861	+	TEC	ENSG00000280222
chr1	18166929	18179346	-	lncRNA	IGSF21-AS1
chr1	18385829	18388514	+	lncRNA	ENSG00000225387
chr1	18480930	18485974	+	protein_coding	KLHDC7A
chr1	18513118	18513383	+	processed_pseudogene	DYNLL1P3
chr1	18595414	18595636	+	processed_pseudogene	ENSG00000225478
chr1	18630846	18748866	+	protein_coding	PAX7
chr1	18839599	18859682	-	protein_coding	TAS1R2
chr1	18871430	18902724	-	protein_coding	ALDH4A1
chr1	18883202	18883275	-	miRNA	MIR4695
chr1	18897071	18897148	-	miRNA	MIR1290
chr1	18904280	18956676	-	protein_coding	IFFO2
chr1	19072110	19075511	-	lncRNA	ENSG00000272084
chr1	19074510	19210266	-	protein_coding	UBR4
chr1	19210355	19240704	+	lncRNA	EMC1-AS1
chr1	19215660	19251552	-	protein_coding	EMC1
chr1	19251805	19260128	+	protein_coding	MRTO4
chr1	19260521	19262307	-	unprocessed_pseudogene	ENSG00000286064
chr1	19265982	19274194	-	polymorphic_pseudogene	AKR7L
chr1	19282573	19288770	-	protein_coding	AKR7A3
chr1	19297080	19297903	+	processed_pseudogene	ENSG00000270728
chr1	19303965	19312144	-	protein_coding	AKR7A2
chr1	19305076	19305182	-	snRNA	RNU6-1099P
chr1	19312326	19329300	+	protein_coding	SLC66A1
chr1	19338775	19485539	-	protein_coding	CAPZB
chr1	19424384	19424671	+	misc_RNA	RN7SL277P
chr1	19484403	19629821	+	protein_coding	MICOS10
chr1	19510593	19510733	+	snRNA	RNU4-28P
chr1	19591802	19596832	-	lncRNA	MICOS10-DT
chr1	19596979	19658456	+	protein_coding	NBL1
chr1	19597067	19656927	+	protein_coding	MICOS10-NBL1
chr1	19608114	19608568	+	processed_pseudogene	ENSG00000226396
chr1	19664875	19680966	+	protein_coding	HTR6
chr1	19682240	19799945	-	protein_coding	TMCO4
chr1	19814029	19815283	-	protein_coding	RNF186
chr1	19814367	19819502	+	lncRNA	RNF186-AS1
chr1	19882395	19912945	+	protein_coding	OTUD3
chr1	19920009	19923617	-	protein_coding	PLA2G2E
chr1	19970969	19971269	+	misc_RNA	RN7SL304P
chr1	19975431	19980416	-	protein_coding	PLA2G2A
chr1	20028179	20091911	+	protein_coding	PLA2G5
chr1	20111939	20119566	-	protein_coding	PLA2G2D
chr1	20139323	20150381	+	protein_coding	PLA2G2F
chr1	20154171	20160568	+	lncRNA	ENSG00000227066
chr1	20161253	20186518	-	protein_coding	PLA2G2C
chr1	20186096	20196050	+	protein_coding	UBXN10
chr1	20243095	20244664	+	lncRNA	LINC01757
chr1	20272018	20275005	+	lncRNA	ENSG00000284710
chr1	20290875	20359518	+	protein_coding	VWA5B1
chr1	20294211	20323187	-	lncRNA	ENSG00000226664
chr1	20360579	20431234	-	lncRNA	LINC01141
chr1	20412304	20413253	-	lncRNA	ENSG00000226487
chr1	20476222	20478937	+	lncRNA	ENSG00000284641
chr1	20478779	20480397	-	lncRNA	ENSG00000284743
chr1	20482391	20486210	-	protein_coding	CAMK2N1
chr1	20486358	20487374	-	lncRNA	ENSG00000289402
chr1	20499448	20508151	-	protein_coding	MUL1
chr1	20525989	20526751	+	processed_pseudogene	RPS4XP4
chr1	20552573	20555020	+	protein_coding	FAM43B
chr1	20589086	20618903	+	protein_coding	CDA
chr1	20633458	20651511	+	protein_coding	PINK1
chr1	20633679	20633788	+	miRNA	MIR6084
chr1	20642657	20652193	-	lncRNA	PINK1-AS
chr1	20651767	20661544	-	protein_coding	DDOST
chr1	20664014	20718017	-	protein_coding	KIF17
chr1	20692734	20694013	-	unprocessed_pseudogene	ENSG00000235432
chr1	20719731	20732837	-	protein_coding	SH2D5
chr1	20732880	20733952	+	lncRNA	ENSG00000233069
chr1	20740266	20787323	-	protein_coding	HP1BP3
chr1	20806292	21177285	-	protein_coding	EIF4G3
chr1	20841241	20841302	+	snRNA	RNU7-200P
chr1	20988314	20988432	-	miRNA	MIR1256
chr1	21003550	21003934	-	processed_pseudogene	RPS15AP6
chr1	21073639	21073753	-	processed_pseudogene	ENSG00000236073
chr1	21161475	21162081	+	processed_pseudogene	HSPE1P27
chr1	21177054	21178164	+	lncRNA	ENSG00000287192
chr1	21217247	21345572	-	protein_coding	ECE1
chr1	21266082	21267251	+	lncRNA	ENSG00000236936
chr1	21293290	21299874	+	lncRNA	ECE1-AS1
chr1	21397987	21398362	+	processed_pseudogene	PPP1R11P1
chr1	21411460	21413293	-	unprocessed_pseudogene	PDE4DIPP10
chr1	21415898	21417492	+	lncRNA	ENSG00000236009
chr1	21424625	21427967	-	unprocessed_pseudogene	NBPF2P
chr1	21428303	21429536	+	processed_pseudogene	HS6ST1P1
chr1	21434318	21437558	+	unprocessed_pseudogene	CROCCP5
chr1	21440128	21485005	+	protein_coding	NBPF3
chr1	21459756	21460082	-	processed_pseudogene	PFN1P10
chr1	21509397	21578410	+	protein_coding	ALPL
chr1	21547404	21554002	+	protein_coding	ENSG00000289715
chr1	21586472	21591187	+	lncRNA	LINC02596
chr1	21596221	21669357	-	protein_coding	RAP1GAP
chr1	21678298	21783606	-	protein_coding	USP48
chr1	21768269	21768575	+	processed_pseudogene	ENSG00000231978
chr1	21812265	21825225	+	protein_coding	LDLRAD2
chr1	21822244	21937310	-	protein_coding	HSPG2
chr1	21908098	21908580	+	processed_pseudogene	ENSG00000232037
chr1	21950679	21956871	-	transcribed_unitary_pseudogene	ENSG00000283234
chr1	21977022	21998642	+	protein_coding	CELA3B
chr1	21983606	22030617	+	lncRNA	ENSG00000285959
chr1	21987481	21987777	+	misc_RNA	RN7SL386P
chr1	21987816	21987919	+	snRNA	RNU6-1022P
chr1	22001657	22012542	+	protein_coding	CELA3A
chr1	22010650	22010946	+	misc_RNA	RN7SL186P
chr1	22010985	22011088	+	snRNA	RNU6-776P
chr1	22023990	22026048	-	lncRNA	LINC01635
chr1	22024558	22031223	+	lncRNA	LINC00339
chr1	22025142	22092943	+	protein_coding	ENSG00000289694
chr1	22028317	22052927	-	lncRNA	CDC42-AS1
chr1	22030527	22030748	+	transcribed_processed_pseudogene	ENSG00000285794
chr1	22052627	22101360	+	protein_coding	CDC42
chr1	22059197	22064199	+	lncRNA	CDC42-IT1
chr1	22068340	22068827	-	processed_pseudogene	MPHOSPH6P1
chr1	22117313	22143969	-	protein_coding	WNT4
chr1	22142850	22157401	+	lncRNA	ENSG00000285873
chr1	22266239	22266300	+	miRNA	MIR4418
chr1	22322840	22323331	-	processed_pseudogene	PPIAP34
chr1	22364630	22366482	-	TEC	ENSG00000279625
chr1	22428838	22531157	+	protein_coding	ZBTB40
chr1	22517474	22519708	+	lncRNA	ZBTB40-IT1
chr1	22563489	22603595	+	protein_coding	EPHA8
chr1	22633258	22633366	-	miRNA	MIR6127
chr1	22635077	22639678	+	protein_coding	C1QA
chr1	22636506	22644067	+	protein_coding	ENSG00000289692
chr1	22643014	22648110	+	protein_coding	C1QC
chr1	22652762	22661637	+	protein_coding	C1QB
chr1	22710839	22921500	+	protein_coding	EPHB2
chr1	22719517	22719598	+	miRNA	MIR4684
chr1	22835713	22836849	-	lncRNA	ENSG00000225952
chr1	22863159	22863226	-	miRNA	MIR4253
chr1	22953043	22972866	-	protein_coding	LACTBL1
chr1	23010834	23019100	-	protein_coding	TEX46
chr1	23019443	23083689	+	protein_coding	KDM1A
chr1	23020147	23088058	-	lncRNA	ENSG00000240553
chr1	23044305	23044372	+	miRNA	MIR3115
chr1	23057858	23057934	-	miRNA	ENSG00000266802
chr1	23084030	23177808	-	protein_coding	LUZP1
chr1	23140325	23141142	+	processed_pseudogene	ENSG00000229010
chr1	23162704	23162810	+	snRNA	RNU6-514P
chr1	23163953	23164053	+	snRNA	RNU6-135P
chr1	23167098	23167889	-	lncRNA	ENSG00000289014
chr1	23191895	23217502	-	protein_coding	HTR1D
chr1	23244765	23245224	+	processed_pseudogene	ENSG00000215381
chr1	23281307	23287488	-	lncRNA	LINC01355
chr1	23297797	23302866	+	lncRNA	ENSG00000284726
chr1	23303771	23344336	-	protein_coding	HNRNPR
chr1	23359448	23369836	-	protein_coding	ZNF436
chr1	23368949	23371839	+	lncRNA	ZNF436-AS1
chr1	23370254	23370346	+	misc_RNA	Y_RNA
chr1	23378380	23379029	-	lncRNA	ENSG00000271420
chr1	23380909	23424748	-	protein_coding	TCEA3
chr1	23410832	23412146	+	processed_pseudogene	ENSG00000232482
chr1	23428563	23484568	-	protein_coding	ASAP3
chr1	23506438	23531233	-	protein_coding	E2F2
chr1	23549139	23550915	-	lncRNA	ENSG00000235052
chr1	23557926	23559501	-	protein_coding	ID3
chr1	23576436	23593621	-	lncRNA	ENSG00000285802
chr1	23581495	23640568	+	lncRNA	MDS2
chr1	23670294	23680259	+	unprocessed_pseudogene	ENSG00000229239
chr1	23691742	23696835	+	protein_coding	RPL11
chr1	23706901	23778325	-	lncRNA	ELOA-AS1
chr1	23743448	23762059	+	protein_coding	ELOA
chr1	23778418	23788232	+	protein_coding	PITHD1
chr1	23791145	23795539	+	protein_coding	LYPLA2
chr1	23795599	23800781	-	protein_coding	GALE
chr1	23801885	23838620	-	protein_coding	HMGCL
chr1	23845077	23868290	-	protein_coding	FUCA1
chr1	23870515	23913362	-	protein_coding	CNR2
chr1	23901471	23902737	-	processed_pseudogene	BTBD6P1
chr1	23907111	23907885	+	lncRNA	ENSG00000232557
chr1	23929070	23929147	+	miRNA	MIR378F
chr1	23949016	23949383	-	processed_pseudogene	H3P1
chr1	23956839	23963462	+	protein_coding	PNRC2
chr1	23964347	23980927	-	protein_coding	SRSF10
chr1	24007881	24008519	-	processed_pseudogene	ENSG00000215905
chr1	24040835	24086799	+	lncRNA	ENSG00000225315
chr1	24056035	24112135	-	protein_coding	MYOM3
chr1	24066774	24083565	+	lncRNA	MYOM3-AS1
chr1	24119771	24143140	-	protein_coding	IL22RA1
chr1	24154168	24187959	-	protein_coding	IFNLR1
chr1	24199558	24364482	+	protein_coding	GRHL3
chr1	24200240	24211693	+	lncRNA	LINC02800
chr1	24307556	24321901	-	lncRNA	GRHL3-AS1
chr1	24356999	24416934	-	protein_coding	STPG1
chr1	24415802	24472976	+	protein_coding	NIPAL3
chr1	24476362	24476739	+	lncRNA	ENSG00000288982
chr1	24496254	24535400	-	lncRNA	RCAN3AS
chr1	24502351	24541040	+	protein_coding	RCAN3
chr1	24538802	24556024	-	lncRNA	NCMAP-DT
chr1	24556087	24609328	+	protein_coding	NCMAP
chr1	24563627	24563974	+	processed_pseudogene	ENSG00000227312
chr1	24625411	24625513	-	misc_RNA	Y_RNA
chr1	24631716	24673281	+	protein_coding	SRRM1
chr1	24704894	24717596	+	lncRNA	ENSG00000284699
chr1	24745382	24844321	+	protein_coding	CLIC4
chr1	24777873	24777979	-	snRNA	RNU6-1208P
chr1	24899511	24965121	-	protein_coding	RUNX3
chr1	24919345	24919416	-	miRNA	MIR6731
chr1	24961345	24963097	+	lncRNA	RUNX3-AS1
chr1	24968423	24970865	-	lncRNA	ENSG00000261025
chr1	25023503	25023586	+	miRNA	MIR4425
chr1	25041136	25047404	+	lncRNA	LINC02793
chr1	25043707	25113120	-	lncRNA	ENSG00000233755
chr1	25125053	25125454	-	processed_pseudogene	IFITM3P7
chr1	25208139	25209437	+	lncRNA	ENSG00000231953
chr1	25222276	25232502	-	protein_coding	SYF2
chr1	25232586	25234775	+	lncRNA	ENSG00000284602
chr1	25239494	25240253	+	lncRNA	ENSG00000284657
chr1	25242249	25338213	-	protein_coding	RSRP1
chr1	25247837	25248321	+	lncRNA	ENSG00000272432
chr1	25266102	25267136	-	unprocessed_pseudogene	ENSG00000261349
chr1	25272393	25330445	+	protein_coding	RHD
chr1	25294164	25294643	-	processed_pseudogene	SDHDP6
chr1	25336429	25337465	-	unprocessed_pseudogene	ENSG00000259984
chr1	25338317	25362361	+	protein_coding	TMEM50A
chr1	25362249	25430192	-	protein_coding	RHCE
chr1	25398721	25399198	+	processed_pseudogene	ENSG00000238084
chr1	25430858	25500209	+	protein_coding	MACO1
chr1	25543606	25568886	+	protein_coding	LDLRAP1
chr1	25581478	25590356	+	lncRNA	ENSG00000225643
chr1	25616791	25786206	+	protein_coding	MAN1C1
chr1	25644544	25659111	-	lncRNA	ENSG00000233478
chr1	25800193	25818221	+	protein_coding	SELENON
chr1	25811470	25823744	+	protein_coding	ENSG00000255054
chr1	25816749	25820797	-	lncRNA	ENSG00000228172
chr1	25818640	25832942	+	protein_coding	MTFR1L
chr1	25831913	25832134	-	lncRNA	ENSG00000272478
chr1	25831913	25859458	-	protein_coding	AUNIP
chr1	25859580	25863420	+	lncRNA	ENSG00000236528
chr1	25861484	25875708	-	protein_coding	PAQR7
chr1	25877496	25877605	+	misc_RNA	Y_RNA
chr1	25884181	25906991	-	protein_coding	STMN1
chr1	25887360	25887610	+	processed_pseudogene	SNRPFP2
chr1	25888970	25889109	+	processed_pseudogene	ENSG00000223624
chr1	25906362	25906454	-	miRNA	MIR3917
chr1	25959767	25998117	-	protein_coding	PAFAH2
chr1	25964197	25964300	+	snRNA	RNU6-110P
chr1	26006006	26006130	+	scaRNA	ENSG00000252190
chr1	26006216	26006299	+	scaRNA	ENSG00000252691
chr1	26019884	26036464	+	protein_coding	EXTL1
chr1	26037252	26046118	-	protein_coding	SLC30A2
chr1	26046665	26049099	+	lncRNA	ENSG00000284309
chr1	26051301	26068436	-	protein_coding	TRIM63
chr1	26111165	26125555	+	protein_coding	PDIK1L
chr1	26159079	26163962	+	protein_coding	FAM110D
chr1	26164101	26168963	-	protein_coding	C1orf232
chr1	26169516	26171831	-	protein_coding	ZNF593OS
chr1	26169908	26170873	+	protein_coding	ZNF593
chr1	26177484	26189884	+	protein_coding	CNKSR1
chr1	26190561	26202968	+	protein_coding	CATSPER4
chr1	26209741	26229844	+	transcribed_unprocessed_pseudogene	ZPLD2P
chr1	26218581	26220476	-	unprocessed_pseudogene	ENSG00000278572
chr1	26234200	26278808	+	protein_coding	CEP85
chr1	26263041	26263398	-	processed_pseudogene	ENSG00000270733
chr1	26280086	26281522	+	protein_coding	SH3BGRL3
chr1	26281328	26318363	-	protein_coding	UBXN11
chr1	26317958	26320523	+	protein_coding	CD52
chr1	26321698	26360080	-	protein_coding	CRYBG2
chr1	26326688	26327033	+	processed_pseudogene	ENSG00000225854
chr1	26361634	26374522	-	protein_coding	ZNF683
chr1	26410817	26429728	+	protein_coding	LIN28A
chr1	26432282	26471306	+	protein_coding	DHDDS
chr1	26454653	26455187	-	processed_pseudogene	ENSG00000223583
chr1	26462756	26468014	-	lncRNA	DHDDS-AS1
chr1	26472440	26476642	+	protein_coding	HMGN2
chr1	26519354	26520250	-	processed_pseudogene	DPPA2P2
chr1	26529761	26575030	+	protein_coding	RPS6KA1
chr1	26554542	26554593	+	miRNA	MIR1976
chr1	26593243	26593546	-	misc_RNA	RN7SL679P
chr1	26593940	26594041	-	misc_RNA	Y_RNA
chr1	26602369	26602432	-	snRNA	RNU7-29P
chr1	26620707	26620910	-	lncRNA	ENSG00000289452
chr1	26640377	26640614	-	processed_pseudogene	ENSG00000229247
chr1	26642286	26642389	-	snoRNA	ENSG00000238316
chr1	26647447	26647681	+	processed_pseudogene	ENSG00000235069
chr1	26692132	26694131	-	lncRNA	ENSG00000260063
chr1	26693236	26782104	+	protein_coding	ARID1A
chr1	26787054	26800659	+	protein_coding	PIGV
chr1	26814822	26815112	+	misc_RNA	RN7SL165P
chr1	26817300	26817476	+	unprocessed_pseudogene	ENSG00000287810
chr1	26826688	26857604	+	protein_coding	ZDHHC18
chr1	26863149	26864456	+	protein_coding	SFN
chr1	26876132	26890283	-	protein_coding	GPN2
chr1	26876133	26878245	+	lncRNA	ENSG00000226698
chr1	26881109	26882235	-	lncRNA	ENSG00000289554
chr1	26890488	26900467	-	protein_coding	GPATCH3
chr1	26900238	26946871	+	protein_coding	NUDC
chr1	26911489	26913975	-	protein_coding	NR0B2
chr1	26949562	26960468	-	protein_coding	KDF1
chr1	26980165	26980975	+	unprocessed_pseudogene	RPL12P13
chr1	26983628	26984024	+	processed_pseudogene	RPL32P6
chr1	26985897	26986340	-	processed_pseudogene	OSTCP2
chr1	26993692	27000886	+	protein_coding	TRNP1
chr1	27005020	27012850	-	protein_coding	TENT5B
chr1	27098809	27166981	-	protein_coding	SLC9A1
chr1	27176751	27177277	+	processed_pseudogene	ENSG00000229985
chr1	27200834	27201473	-	processed_pseudogene	CHCHD3P3
chr1	27206930	27207796	+	processed_pseudogene	NPM1P39
chr1	27211265	27211484	+	processed_pseudogene	SNRPEP7
chr1	27229106	27234352	-	lncRNA	WDTC1-DT
chr1	27234632	27308636	+	protein_coding	WDTC1
chr1	27255464	27255567	-	misc_RNA	Y_RNA
chr1	27311240	27311838	+	processed_pseudogene	ENSG00000243659
chr1	27322145	27336400	+	protein_coding	TMEM222
chr1	27325219	27325325	+	snRNA	RNU6-48P
chr1	27325329	27325796	+	processed_pseudogene	ACTG1P20
chr1	27342020	27353937	+	protein_coding	SYTL1
chr1	27354067	27366961	-	protein_coding	MAP3K6
chr1	27369110	27374824	-	protein_coding	FCN3
chr1	27379176	27383333	-	protein_coding	CD164L2
chr1	27389468	27390145	+	processed_pseudogene	ENSG00000231207
chr1	27392622	27395814	+	protein_coding	GPR3
chr1	27404230	27490167	-	protein_coding	WASF2
chr1	27457198	27459582	+	lncRNA	ENSG00000241169
chr1	27525805	27530561	+	lncRNA	ENSG00000237429
chr1	27534035	27604431	-	protein_coding	AHDC1
chr1	27612064	27635185	-	protein_coding	FGR
chr1	27649419	27649610	+	processed_pseudogene	ENSG00000235912
chr1	27660328	27666279	-	lncRNA	LINC02574
chr1	27666064	27672212	-	protein_coding	IFI6
chr1	27669468	27703063	+	lncRNA	ENSG00000225886
chr1	27675603	27675709	-	snRNA	RNU6-949P
chr1	27686810	27687471	-	processed_pseudogene	CHMP1AP1
chr1	27693731	27693835	+	snRNA	RNU6-424P
chr1	27724822	27725756	-	lncRNA	ENSG00000287244
chr1	27725961	27763116	+	protein_coding	FAM76A
chr1	27739091	27739439	+	processed_pseudogene	ENSG00000231344
chr1	27739954	27740629	+	processed_pseudogene	RPEP3
chr1	27773219	27824443	+	protein_coding	STX12
chr1	27773858	27774041	+	lncRNA	ENSG00000269971
chr1	27819983	27820341	+	lncRNA	ENSG00000270031
chr1	27824538	27824643	+	snRNA	RNU6-1245P
chr1	27827812	27831209	-	lncRNA	ENSG00000286433
